date,invoice_type,invoice_no,sku_code,product_category,brand_name,retailer_code,retailer_name,retailer_type,distributor_code,distributor_name,distributor_type,list_price,price_sold,quantity_sold,invoice_value,discount_amount,discount_percentage,unit_profit
2023-04-18,Normal,QRA-007-23RT05004930-01,f2db2c8f8efc6e32887f3b6cd803c1febcc2564b,HAIR CARE,Brand 7,47007f559dfa65b7d3930ab1e68325bdffd4ace6,Retailer 360,INDEPENDENT,Q007,Distributor C,Exclusive,11.4,8.1,6,48.6,3.3,28.947369,0.12
2024-11-04,Normal,QRA-004-24RT22008020-01,e76beb42a6a6116cb8209c0d3af1b3eba39f1370,SKIN CLEANSING,Brand 13,47007f559dfa65b7d3930ab1e68325bdffd4ace6,Retailer 360,INDEPENDENT,Q004,Distributor A,Exclusive,10.1,6.2,6,37.2,3.9,38.61386,-0.87
2021-08-16,Normal,QRA-007-21RT03014440-01,18227677d8061c74c89a43c49aee39e3bacd22a2,HAIR CARE,Brand 25,4e0c601935c96d47573996260cd8890a32538d33,Retailer 400,INDEPENDENT,Q007,Distributor C,Exclusive,6.2,3.35,3,10.05,2.85,45.967743,-0.99
2021-07-12,Normal,QRA-004-21RT04011340-01,ecfc26996627967c9aa24045bf7d2fb0489090e1,SKIN CLEANSING,Brand 13,44d3cc6a8551ed1b3e61940435a86c69643434e3,Retailer 349,INDEPENDENT,Q004,Distributor A,Exclusive,3.5,2.7,6,16.2,0.8,22.857143,0.25
2021-01-13,Normal,QRA-007-21RT10000810-01,ea82b434e7240d569c3a52d5307570b56d1f25e1,HAIR CARE,Brand 7,07c301cca55f5773607d27ee27b2d7646c0c6bbc,Retailer 33,INDEPENDENT,Q007,Distributor C,Exclusive,5.6,5.35,6,32.1,0.25,4.464286,1.43
2021-05-27,Normal,QRA-004-21RT03009230-01,1f0820f24d4b4401d0a42eb74250596770aa8dec,SKIN CLEANSING,Brand 7,753bc7f42898098944243b199eb8c5292ed6cd80,Retailer 591,INDEPENDENT,Q004,Distributor A,Exclusive,10.0,6.25,6,37.5,3.75,37.5,-0.75
2022-11-28,Normal,QRA-006-22RT04016430-01,893109e3883e63f03b47ec72228184895a5ef21b,FABRIC CARE,Brand 2,120d36887dcfee753f97efd2f2552cb6a71bbbf9,Retailer 96,INDEPENDENT,Q006,Distributor B,Direct,12.6,8.5,4,34.0,4.1,32.539684,-0.32
2021-08-02,Normal,QRA-004-21RT04012620-01,60ffdc201da41432807496ee75f52e287f09666b,DEODORANTS & FRAGRANCES,Brand 21,120d36887dcfee753f97efd2f2552cb6a71bbbf9,Retailer 96,INDEPENDENT,Q004,Distributor A,Exclusive,3.0,1.95,6,11.7,1.05,35.0,-0.15
2023-01-17,Normal,QRA-007-23RT10001060-01,5a671621dfa2e6d187e7852e3221029fe5b40f66,HAIR CARE,Brand 25,f00ff95f606b2860c811733f6337d7070d700bb6,Retailer 1195,INDEPENDENT,Q007,Distributor C,Exclusive,4.1,4.0,12,48.0,0.1,2.4390244,1.13
2023-01-31,Normal,QRA-004-23RT04001350-01,785b494cd77d27dce7b79f2c0f0fded6a5900044,SKIN CLEANSING,Brand 13,3e05ca2f41350b3e29a7a61ea4577f2f3a42cdfe,Retailer 318,INDEPENDENT,Q004,Distributor A,Exclusive,2.9,2.1,6,12.6,0.8,27.586206,0.07
